TckrSymb	Dt	OpnIntrst	FrstPric	MinPric	MaxPric	TradAvrgPric	LastPric
ODPVB122	2022-02-04	700	0.25	0.25	0.26	0.25	0.26
ELETN280	2022-02-04	27500	0.09	0.09	0.1	0.09	0.1
F1FI34	2022-02-04	-	274.05	272.24	274.05	272.64	272.24
N1OW34	2022-02-04	-	62.1	61.6	62.1	61.94	61.6
M2PW34	2022-02-04	-	58.86	58.4	58.86	58.52	58.8
L1EG34	2022-02-04	-	201.03	199.79	201.03	200.67	199.79
SLED11F	2022-02-04	-	2.5	2.5	2.5	2.5	2.5
ELETB359	2022-02-04	109100	0.25	0.25	0.25	0.25	0.25
K1BF34	2022-02-04	-	67.58	67.58	67.58	67.58	67.58
VIUR11	2022-02-04	-	76.26	74.57	76.5	75.13	75.71
XPCI11	2022-02-04	-	96.11	96	97.05	96.55	96.85
WFCO34	2022-02-04	-	73.1	73.1	75.9	74.7	75.62
RBED11	2022-02-04	-	122	120.03	122.88	121.33	122.8
ONEF11	2022-02-04	-	143.05	143.05	146.9	143.72	145.96
SNEC34	2022-02-04	-	582.53	577.4	583.69	581.66	579.92
HREC11	2022-02-04	-	96.49	94.2	96.5	95.18	96.49
ELETP335	2022-02-04	110000	2.23	2	2.23	2.1	2.03
TRPLO245	2022-02-04	14900	0.19	0.18	0.19	0.18	0.18
IRFM11	2022-02-04	-	64.45	64.42	64.45	64.42	64.42
S2UI34	2022-02-04	-	51.32	50.79	51.41	51.31	51.29
LIPR3F	2022-02-04	-	65	65	65.5	65.16	65
BRFSF265	2022-02-04	900	0.45	0.4	0.45	0.41	0.42
MULTO215	2022-02-04	200	1.19	1.14	1.19	1.16	1.14
BEEFN880	2022-02-04	52800	0.2	0.18	0.21	0.2	0.2
BRFSN235	2022-02-04	1240000	4.36	4.28	4.6	4.39	4.48
EGIEN405	2022-02-04	15200	0.32	0.32	0.41	0.33	0.37
GEPA3	2022-02-04	-	32	32	32	32	32
LILY34	2022-02-04	-	649.35	647.49	649.35	648.32	647.49
ENBRO200	2022-02-04	200	0.16	0.16	0.16	0.16	0.16
TAEEN370	2022-02-04	74400	0.15	0.09	0.15	0.1	0.1
EGIEN370	2022-02-04	79600	0.04	0.04	0.04	0.04	0.04
BRKMP530	2022-02-04	406000	4.01	3.63	4.01	3.72	3.63
RBRL11	2022-02-04	-	92.29	92	92.85	92.34	92.29
TRPL4F	2022-02-04	-	24.21	23.94	24.24	24.01	24.02
MYPKC170	2022-02-04	17800	0.28	0.2	0.28	0.23	0.21
CMIG4F	2022-02-04	-	13.14	12.75	13.15	12.81	12.75
HTMX11	2022-02-04	-	81.17	80	83.5	81.65	82.5
CSNAC287	2022-02-04	67700	0.94	0.82	0.96	0.87	0.91
HPQB34	2022-02-04	-	200	200	200	200	200
ELETO307	2022-02-04	48200	0.72	0.71	0.72	0.71	0.71
ELETC367	2022-02-04	12600	0.97	0.89	0.97	0.89	0.89
MUTC34	2022-02-04	-	437.05	427.97	437.2	432.93	433.56
SULAC260	2022-02-04	700	0.72	0.72	0.74	0.72	0.74
ELETC362	2022-02-04	62500	1.11	1.05	1.31	1.17	1.31
TXRX4F	2022-02-04	-	6.84	6.8	6.84	6.81	6.8
BRKMN495	2022-02-04	117400	1.15	0.5	1.15	0.67	0.5
LIGTC125	2022-02-04	720200	0.48	0.44	0.48	0.44	0.44
ELETO304	2022-02-04	114200	0.92	0.85	0.92	0.91	0.85
ENGIB460	2022-02-04	1600	0.65	0.64	0.65	0.64	0.64
SAPRB200	2022-02-04	305000	0.4	0.3	0.4	0.31	0.3
BDLL4F	2022-02-04	-	9.88	9.7	9.88	9.7	9.7
A1NE34	2022-02-04	-	164.8	163.89	164.88	164.01	163.89
BEEFN105	2022-02-04	23600	1.5	1.5	1.5	1.5	1.5
H1UM34	2022-02-04	-	463.99	459.54	463.99	460.33	459.54
EGIEN385	2022-02-04	77700	0.08	0.08	0.08	0.08	0.08
FATN11	2022-02-04	-	101.99	101.99	101.99	101.99	101.99
JHSFB600	2022-02-04	330600	0.24	0.24	0.24	0.24	0.24
T1RI34	2022-02-04	-	141.7	141.7	141.7	141.7	141.7
TAEEO370	2022-02-04	44200	0.58	0.58	0.58	0.58	0.58
CMIG3F	2022-02-04	-	18.14	17.63	18.31	17.92	17.94
H1ZN34	2022-02-04	-	48.77	48.7	49.25	48.93	49.15
LEVE3F	2022-02-04	-	31.1	29.91	31.15	30.37	30.33
BRFSP205	2022-02-04	105700	1.68	1.68	2.28	1.97	2.28
JNJB34	2022-02-04	-	60.73	60.52	61.48	60.96	61.23
TAEEB395	2022-02-04	228500	0.46	0.4	0.46	0.43	0.4
S2HO34	2022-02-04	-	37	37	39.22	38.8	39.1
HAGA4F	2022-02-04	-	2.11	2.05	2.3	2.17	2.17
GPIV33	2022-02-04	-	5.24	4.96	5.24	5.03	4.99
LUGG11	2022-02-04	-	87.46	87.46	88	87.66	87.7
TCNO4F	2022-02-04	-	1.29	1.28	1.32	1.29	1.29
FDXB34	2022-02-04	-	1308.69	1295.8	1308.69	1300.37	1304.76
MULTC215	2022-02-04	6800	0.8	0.8	0.8	0.8	0.8
FLMA11	2022-02-04	-	117	117	118.05	117.8	118
REGN34	2022-02-04	-	662.58	662.58	662.58	662.58	662.58
BALM3F	2022-02-04	-	15.57	15.57	15.57	15.57	15.57
SULAL31	2022-02-04	77100	2.16	1.98	2.16	2.07	1.98
JHSFN580	2022-02-04	21100	0.13	0.13	0.16	0.15	0.16
COLG34	2022-02-04	-	62.55	62.04	63	62.35	63
CPLEB620	2022-02-04	164900	1.12	1.12	1.13	1.12	1.13
BRKMD520	2022-02-04	13400	4.15	4.1	4.15	4.1	4.1
JHSFB620	2022-02-04	94700	0.15	0.15	0.15	0.15	0.15
RADLP208	2022-02-04	-	0.67	0.67	0.67	0.67	0.67
TUPYO210	2022-02-04	21900	1.64	1.64	1.64	1.64	1.64
JHSFB680	2022-02-04	-	0.04	0.04	0.04	0.04	0.04
MULTP170	2022-02-04	100	0.25	0.25	0.25	0.25	0.25
ELETC302	2022-02-04	12500	4.85	4.85	5.1	4.97	5.1
RBRF11	2022-02-04	-	71.64	71.63	72.85	72.12	72.36
XPIN11	2022-02-04	-	85.99	85.9	86.58	86.25	86.56
RBRY11	2022-02-04	-	106.29	106	106.99	106.57	106.2
A1MD34	2022-02-04	-	630	630	664.27	650.34	656.93
VLID3F	2022-02-04	-	10.4	10.1	10.49	10.28	10.2
HOOT4	2022-02-04	-	2.75	2.71	2.85	2.79	2.83
CMIGB149	2022-02-04	1456800	0.02	0.01	0.02	0.01	0.02
A1MT34	2022-02-04	-	714.24	707.24	726.23	716.71	721.12
K1LA34	2022-02-04	-	505.44	503.09	505.44	503.48	503.09
RADLN220	2022-02-04	221800	0.62	0.52	0.62	0.54	0.52
BDVY39	2022-02-04	-	66.84	66.34	66.99	66.76	66.92
CPLEO660	2022-02-04	213900	0.03	0.03	0.03	0.03	0.03
ELETB348	2022-02-04	52700	0.77	0.77	0.77	0.77	0.77
ELETC312	2022-02-04	70000	3.5	3.5	4.3	3.93	4.3
A1TT34	2022-02-04	-	324.01	324.01	328	325.92	327.63
GCFF11	2022-02-04	-	78.36	77.1	78.36	77.43	77.96
WHRL3	2022-02-04	-	6.39	6.31	6.41	6.37	6.33
BVLU39	2022-02-04	-	56.94	56.94	56.94	56.94	56.94
ELETO319	2022-02-04	79600	1.73	1.71	1.77	1.76	1.71
BRKMC514	2022-02-04	95000	2.94	2.94	4	3.67	4
EVENB773	2022-02-04	5700	0.12	0.12	0.12	0.12	0.12
S1KM34	2022-02-04	-	34.86	34.86	34.86	34.86	34.86
SAPRN200	2022-02-04	5000	0.43	0.43	0.43	0.43	0.43
A1UA34	2022-02-04	-	24.7	24.7	25.16	24.72	25.16
DHER34	2022-02-04	-	384.28	384.28	386.66	385.06	385.33
W1MC34	2022-02-04	-	389.54	388.5	389.54	388.7	388.5
CTSH34	2022-02-04	-	463.28	461.89	463.28	462.12	461.89
RADLP198	2022-02-04	-	0.35	0.35	0.35	0.35	0.35
TGMA3F	2022-02-04	-	14.95	14.3	14.95	14.88	14.95
BACW39	2022-02-04	-	54.44	53.21	54.45	53.61	53.82
TGAR11	2022-02-04	-	116.39	114.1	116.99	115.25	115.92
MGFF11	2022-02-04	-	62.45	61.54	63	62.34	62.15
RECT11	2022-02-04	-	70.3	69.04	70.8	70.05	69.35
LEVE3	2022-02-04	-	31.07	29.91	31.08	30.39	30.69
BIXN39	2022-02-04	-	10.4	10.32	10.48	10.37	10.44
BCIA11	2022-02-04	-	85.61	85	88.32	86.25	87.02
ARCT11	2022-02-04	-	107.98	107.8	108.96	108.24	108
GTWR11	2022-02-04	-	82.27	81.84	82.82	82.09	81.92
ITLC34	2022-02-04	-	42.54	42.08	44.85	42.7	42.76
RYTT34	2022-02-04	-	81.85	81.85	83.17	82.98	82.73
D1EX34	2022-02-04	-	44.79	44.79	44.96	44.79	44.96
HGFF11	2022-02-04	-	74	72.82	74	73.14	73.2
ELETN320	2022-02-04	162400	0.61	0.61	0.61	0.61	0.61
DOHL3F	2022-02-04	-	18.99	18.01	18.99	18.5	18.01
REDE3	2022-02-04	-	6.78	6.56	6.78	6.63	6.56
BRKMO564	2022-02-04	1300	6.6	6.6	6.6	6.6	6.6
ENBRC215	2022-02-04	80600	0.94	0.92	0.94	0.93	0.94
H1PE34	2022-02-04	-	90.78	88.92	90.78	89.6	88.92
SULAO230	2022-02-04	104800	0.75	0.58	0.75	0.64	0.58
RADLN225	2022-02-04	79400	0.77	0.77	0.81	0.79	0.81
EGIEC425	2022-02-04	104900	0.65	0.65	0.65	0.65	0.65
BRKMN47	2022-02-04	37200	0.22	0.21	0.22	0.21	0.21
MOAR3F	2022-02-04	-	402.01	402.01	412.98	404.75	412.98
TAEED380	2022-02-04	1300	1.38	1.38	1.38	1.38	1.38
BOEI34	2022-02-04	-	1100.9	1100.9	1100.9	1100.9	1100.9
SULA11	2022-02-04	-	24.79	23.42	24.8	23.97	23.98
KNCR11	2022-02-04	-	99.99	99.75	100.28	99.95	100
MFII11	2022-02-04	-	107.98	106.63	107.98	107.05	107.14
BRFSC205	2022-02-04	744500	1	0.54	1	0.69	0.58
ENGIN445	2022-02-04	5000	0.37	0.37	0.37	0.37	0.37
FRAS3	2022-02-04	-	12.77	12.52	13	12.8	12.9
BRFSB215	2022-02-04	380100	0.19	0.1	0.19	0.12	0.1
CSNAO267	2022-02-04	103500	1.7	1.41	1.7	1.5	1.49
RADLO220	2022-02-04	110400	0.96	0.9	0.97	0.94	0.9
B1WA34	2022-02-04	-	228.2	227.5	228.2	227.85	227.5
HAGA3	2022-02-04	-	9.47	8.42	9.47	8.78	8.42
B5P211	2022-02-04	-	71.1	70.83	71.1	70.94	70.96
ELETB38	2022-02-04	104800	0.15	0.11	0.2	0.13	0.2
ELETO323	2022-02-04	46700	1.98	1.8	2.05	1.93	1.9
BRFSB230	2022-02-04	807200	0.07	0.04	0.07	0.04	0.05
SULAP235	2022-02-04	-	1.35	1.35	1.35	1.35	1.35
CSNAB235	2022-02-04	392300	3.08	3.08	3.08	3.08	3.08
EQTLC245	2022-02-04	15700	0.49	0.49	0.64	0.56	0.57
EGAF11	2022-02-04	-	98.35	92.8	98.35	95.11	92.8
PEAB4F	2022-02-04	-	73.5	73.5	73.5	73.5	73.5
C1NS34	2022-02-04	-	420.01	420.01	420.43	420.36	420.43
ELETN279	2022-02-04	86300	0.09	0.09	0.09	0.09	0.09
M1UF34	2022-02-04	-	34.17	34.17	34.26	34.18	34.26
ELETN310	2022-02-04	130500	0.27	0.27	0.27	0.27	0.27
TOTSO305	2022-02-04	100	2.69	2.69	2.69	2.69	2.69
BRKMB580	2022-02-04	138800	3.3	3.04	3.3	3.25	3.04
SARE11	2022-02-04	-	69.89	68.54	70	69.17	69.07
RANI3F	2022-02-04	-	6.1	5.93	6.21	6.07	6.06
BKNG34	2022-02-04	-	73.51	72.78	75.16	73.9	74.82
ENBR3F	2022-02-04	-	21.25	20.81	21.28	20.94	20.81
FDES11F	2022-02-04	-	0.62	0.6	0.63	0.62	0.63
CEOC11	2022-02-04	-	57.5	57	57.8	57.25	57.21
A1EG34	2022-02-04	-	31.77	31.77	32.05	32.04	32.05
MBRF11	2022-02-04	-	685	685	690	689.71	690
CMIGC149	2022-02-04	36200	0.07	0.05	0.07	0.05	0.05
SOND5F	2022-02-04	-	38.2	38	38.2	38.11	38
E1TN34	2022-02-04	-	405.1	405.1	405.1	405.1	405.1
ALPAN250	2022-02-04	-	1.17	1.12	1.17	1.16	1.12
TAEEN390	2022-02-04	79800	0.59	0.52	0.6	0.57	0.52
Z2NG34	2022-02-04	-	48.38	48	48.38	48.19	48
EZTCO200	2022-02-04	700	1.25	1.25	1.36	1.27	1.36
CLSC3F	2022-02-04	-	63.15	63.14	65	64.38	65
ELETO312	2022-02-04	38600	0.89	0.89	0.89	0.89	0.89
BEGU39	2022-02-04	-	53.49	53.49	53.82	53.56	53.82
BIIB34	2022-02-04	-	195.99	195.99	195.99	195.99	195.99
VIFI11	2022-02-04	-	78.7	78.31	81.85	79.87	81.6
ENEV3	2022-02-04	-	13.36	12.95	13.51	13.23	13.33
ELET3	2022-02-04	-	34.04	33.41	34.26	33.84	33.69
EZTC3	2022-02-04	-	20.38	19.14	20.52	19.4	19.14
XPML11	2022-02-04	-	95.51	95.19	97.28	96.05	96.56
MGCR11	2022-02-04	-	86.52	86.52	88.5	87.02	86.73
BBRK3F	2022-02-04	-	1.17	1.11	1.17	1.12	1.12
BRFSC200	2022-02-04	249400	1.15	0.68	1.15	0.83	0.71
RADLC240	2022-02-04	111500	0.55	0.37	0.55	0.4	0.38
LUPA3F	2022-02-04	-	5.94	5.76	5.94	5.82	5.79
BIDU34	2022-02-04	-	815.01	815.01	839.67	838.32	839.67
TAEEO350	2022-02-04	33200	0.19	0.19	0.21	0.19	0.19
MULTO210	2022-02-04	153400	0.92	0.91	0.94	0.91	0.94
BRFSN225	2022-02-04	996000	3.24	3.24	3.84	3.65	3.75
B1TI34	2022-02-04	-	46.56	46.47	46.69	46.59	46.5
CSNAC272	2022-02-04	61700	1.32	1.32	1.61	1.59	1.53
A1VB34	2022-02-04	-	331	331	331	331	331
HGIC11	2022-02-04	-	107	105.55	107.48	106.99	107.48
MDIAP230	2022-02-04	6600	1.7	1.7	1.76	1.74	1.76
BALM4	2022-02-04	-	11.9	11.16	11.9	11.55	11.59
FMSC34	2022-02-04	-	186.12	184.32	186.12	185.4	184.32
ALPAN360	2022-02-04	1200	10.15	10.15	10.15	10.15	10.15
BREV11	2022-02-04	-	96.01	95.49	96.01	95.98	95.49
S1MF34	2022-02-04	-	39.2	39.2	39.2	39.2	39.2
VGHF11	2022-02-04	-	10.06	10.02	10.06	10.03	10.03
AVGO34	2022-02-04	-	87	87	90.5	89.94	90.5
BBPO11	2022-02-04	-	92.29	92	92.74	92.29	92.3
RBVO11	2022-02-04	-	12.5	12.06	12.5	12.24	12.3
SLED4F	2022-02-04	-	9	6	11.5	8.05	6.71
TPIS3F	2022-02-04	-	2.06	1.93	2.06	1.96	1.93
CATP34	2022-02-04	-	66.35	65.61	67.06	66.38	66.37
INEP3	2022-02-04	-	1.57	1.53	1.59	1.55	1.53
